,Місяць,Рис,Хліб пшеничний з борошна вищого ґатунку,Хліб пшеничний з борошна першого ґатунку,"Хліб житній, житньо-пшеничний",Батон,Макаронні вироби з м’яких сортів пшениці,Борошно пшеничне,Крупи манні,Крупи гречані,Крупи ячні,Пшоно,Крупи пшеничні,Яловичина,Свинина,Птиця (тушки курячі),Філе куряче,Ковбаси варені першого ґатунку,Риба морожена,"Молоко пастеризоване жирністю до 2,6% включно",Сири м’які жирні,Сметана жирністю до 15% включно,Яйця,Масло вершкове,Олія соняшникова,Сало,Яблука,Капуста білокачанна,Цибуля ріпчаста,Буряк,Морква,Картопля,Цукор,Молочні суміші для дитячого харчування,Горілка,Вина столові вітчизняні,Пиво вітчизняних марок,Сигарети з фільтром вітчизняних марок,Сигарети з фільтром медіум класу,Сигарети з фільтром преміум класу,Сигарети без фільтру,Плата за оренду 1-кімнатної квартири,Антибіотики вітчизняні,Антибіотики імпортні,Судинорозширювальні засоби вітчизняні,Судинорозширювальні засоби імпортні,Жарознижувальні та знеболювальні препарати вітчизняні,Жарознижувальні та знеболювальні препарати імпортні,Стоматологічні послуги,Бензин А-92,Бензин А-95,Дизельне пальне,Газ скраплений для автомобілів,Проїзд у міському транспорті,Дошкільна освіта,Послуги у сфері страхування особистого транспорту
215,2007-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,2007-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,2007-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,2007-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,2007-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,2007-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,2008-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,2008-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,2008-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,2008-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,2008-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,2008-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,2008-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,2008-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,2008-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,2008-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,2008-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,2008-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,2009-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,2009-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,2009-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,2009-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,2009-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,2009-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,2009-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,2009-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,2009-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,2009-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,2009-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,2009-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,2010-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,2010-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,2010-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,2010-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,2010-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,2010-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,2010-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,2010-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,2010-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,2010-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,2010-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,2010-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,2011-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,2011-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,2011-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,2011-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,2011-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,2011-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,2011-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,2011-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,2011-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,2011-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,2011-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,2012-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,2012-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,2012-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,2012-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,2012-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,2012-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,2012-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,2012-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,2012-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,2012-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,2012-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,2012-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,2013-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,2013-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,2013-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,2013-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,2013-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,2013-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,2013-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,2013-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,2013-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,2013-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,2013-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,2013-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,2014-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,2014-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,2014-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,2014-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,2014-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,2014-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,2014-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,2014-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,2014-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,2014-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,2014-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,2014-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,2015-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,2015-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,2015-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,2015-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,2015-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,2015-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,2015-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,2015-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,2015-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,2015-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,2015-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,2015-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,2016-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,2016-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,2016-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,2016-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,2016-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,2016-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,2016-07-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,2016-08-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,2016-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,2016-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,2016-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,2016-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,2017-01-01,20.38,15.0,11.99,12.68,8.59,13.76,8.53,11.02,32.48,8.06,9.14,,89.46,77.59,42.12,72.19,67.82,65.43,17.93,75.77,42.24,22.02,29.68,32.97,43.77,12.15,4.07,4.64,4.16,4.67,5.58,17.09,,71.38,52.42,12.54,17.47,19.3,25.7,15.4,2675.14,13.58,91.6,9.04,43.91,6.27,11.39,317.91,23.19,23.97,21.5,12.05,2.46,14.81,799.02
340,2017-02-01,20.3,15.45,12.41,13.15,8.92,13.89,8.68,11.22,32.96,8.23,9.25,,93.68,80.06,42.7,72.99,68.97,65.93,18.58,77.69,43.67,18.33,30.7,33.3,43.92,12.43,4.25,4.58,4.41,4.88,6.11,17.61,,71.51,52.82,12.74,17.95,20.01,26.24,15.85,2684.27,13.67,91.35,9.1,44.11,6.31,11.48,326.2,23.73,24.53,22.12,11.53,2.51,15.02,799.03
341,2017-03-01,20.47,15.79,12.67,13.4,9.09,14.02,8.94,11.29,32.93,8.38,9.38,,95.69,80.8,42.95,73.89,69.68,66.21,19.04,79.2,44.93,16.97,31.06,33.44,44.08,12.67,4.23,4.25,4.47,4.87,6.25,18.27,,71.51,53.16,12.92,18.34,20.52,26.55,16.21,2708.66,13.65,91.11,9.09,44.41,6.3,11.43,331.82,23.75,24.58,22.11,11.31,2.62,15.15,799.74
342,2017-04-01,20.63,15.87,12.78,13.56,9.19,14.12,9.08,11.31,32.27,8.43,9.4,,97.49,84.62,43.83,75.06,70.8,66.61,19.26,79.34,45.32,13.9,31.04,33.74,44.61,13.63,5.98,4.95,5.09,6.49,6.71,18.48,,71.75,54.03,12.98,18.76,21.02,27.22,16.67,2736.04,13.69,91.25,9.09,44.66,6.38,11.46,333.79,24.05,24.86,22.35,11.51,2.77,15.18,799.74
343,2017-05-01,20.71,15.98,12.87,13.67,9.28,14.2,9.15,11.16,31.02,8.51,9.31,,99.28,90.71,44.45,76.06,71.08,67.21,19.35,78.85,45.67,12.06,31.02,33.74,44.97,17.46,10.7,7.69,6.54,11.55,8.36,18.54,,72.59,54.24,13.18,19.77,22.3,28.58,17.39,2760.07,13.8,91.6,9.19,44.95,6.44,11.41,333.74,24.24,25.08,22.67,11.64,2.79,15.29,802.08
344,2017-06-01,21.2,16.16,13.0,13.79,9.34,14.14,9.16,11.25,29.78,8.49,9.33,,102.7,99.13,45.35,78.2,72.7,66.32,19.29,78.86,45.63,14.09,30.86,33.75,46.69,22.91,14.66,11.98,9.58,14.26,11.12,18.58,,73.57,54.11,13.26,20.79,23.57,29.81,18.12,2756.97,13.95,91.86,9.26,45.0,6.5,11.33,338.34,24.04,24.85,22.46,11.13,2.82,15.79,803.54
345,2017-07-01,21.69,16.26,13.11,13.93,9.39,14.17,9.17,11.3,28.51,8.51,9.35,,105.43,105.64,49.85,83.94,75.09,66.05,19.4,78.77,45.88,12.85,31.16,33.64,49.66,23.44,13.96,11.51,7.83,14.02,8.99,18.45,,74.12,55.03,13.23,21.52,24.48,30.4,18.69,2777.55,14.03,92.5,9.29,44.96,6.56,11.34,342.14,23.81,24.62,22.07,10.76,2.88,15.9,804.07
346,2017-08-01,22.02,16.52,13.28,14.07,9.54,14.14,9.12,11.38,28.08,8.56,9.57,,106.84,107.57,53.94,88.19,76.2,65.34,19.61,80.1,46.37,15.12,31.55,33.67,51.94,18.8,7.14,8.89,5.7,9.42,7.44,18.5,,74.57,55.49,13.31,22.05,25.14,30.96,19.09,2806.47,14.03,92.71,9.29,45.08,6.66,11.41,343.75,23.83,24.65,21.91,12.37,2.96,15.95,806.54
347,2017-09-01,22.42,16.68,13.5,14.29,9.71,14.26,9.19,11.5,27.36,8.58,10.22,,110.1,112.25,55.5,91.57,78.02,64.73,19.95,81.63,47.23,19.78,32.08,33.69,57.59,16.42,6.19,6.88,5.64,8.34,6.76,18.43,,79.05,56.99,13.4,22.76,25.59,31.4,19.57,2877.61,14.05,93.24,9.37,45.17,6.83,11.53,346.04,24.35,25.16,22.28,14.82,3.03,15.68,808.05
348,2017-10-01,22.83,17.08,13.72,14.63,9.84,14.3,9.21,11.58,25.57,8.75,11.64,,112.12,111.4,55.26,92.14,80.22,65.15,20.7,84.45,48.29,22.72,33.5,33.64,63.82,16.0,5.01,5.83,5.57,7.47,6.19,17.43,,80.54,57.53,13.51,23.16,25.93,31.56,20.03,2910.97,14.08,95.03,9.48,45.31,6.91,11.86,349.93,25.68,26.54,23.97,13.11,3.06,15.7,816.32
349,2017-11-01,23.07,17.58,13.98,14.87,10.08,14.31,9.32,11.69,23.85,9.16,13.54,,112.53,109.09,53.95,90.16,81.52,65.56,21.27,87.17,49.74,25.24,34.57,33.97,67.25,16.43,4.41,5.43,5.57,6.84,5.95,16.4,,81.11,58.02,13.53,23.33,26.07,31.78,20.19,2933.14,14.21,96.19,9.56,45.59,7.06,12.08,357.76,26.61,27.47,25.14,12.66,3.11,15.74,828.52
350,2017-12-01,23.09,18.09,14.19,15.08,10.34,14.43,9.44,11.74,22.54,9.53,14.97,,114.3,109.47,53.9,89.51,82.53,65.93,21.77,89.86,50.98,27.0,35.37,34.18,68.76,16.76,4.35,5.46,6.29,6.72,6.0,15.78,,81.23,58.37,13.63,23.52,26.29,32.08,20.32,2940.36,14.3,97.51,9.65,46.07,7.13,12.22,361.46,27.3,28.14,25.8,12.71,3.12,15.69,833.06
352,2018-01-01,23.3,18.49,14.41,15.4,10.45,14.91,9.55,11.71,21.53,9.84,16.02,,117.14,110.28,54.86,91.45,82.57,66.49,22.01,89.66,51.14,27.95,35.95,34.18,72.2,17.47,4.96,5.73,7.08,7.18,6.43,15.62,,81.06,58.75,13.78,23.68,26.86,32.73,20.66,3000.82,14.47,98.36,9.79,46.48,7.39,12.53,376.85,28.58,29.43,27.03,13.06,3.17,16.95,842.97
353,2018-02-01,23.23,18.72,14.68,15.53,10.73,15.04,9.65,11.73,20.84,9.95,16.67,,120.39,107.93,53.72,89.91,83.82,67.59,21.95,90.93,51.64,27.5,36.03,34.43,71.67,18.17,5.86,5.79,8.06,7.9,6.89,15.47,,81.24,59.07,13.92,23.98,27.61,33.32,21.1,3032.4,14.61,99.36,9.84,46.31,7.4,12.72,383.42,29.2,30.05,27.89,13.31,3.22,17.12,854.42
354,2018-03-01,23.42,19.02,14.9,15.84,10.83,15.11,9.74,11.8,20.01,10.07,16.84,,122.16,109.8,54.08,90.07,85.44,68.51,22.13,91.49,52.17,27.29,36.53,34.48,71.51,19.68,7.46,6.31,10.85,10.93,7.58,15.31,,81.54,59.24,14.08,24.35,28.09,34.07,21.48,3062.4,14.75,100.48,9.85,46.33,7.44,12.79,388.02,28.5,29.33,27.09,12.75,3.23,17.26,856.44
355,2018-04-01,23.52,19.26,15.14,16.04,10.97,15.27,9.79,11.82,18.78,10.23,17.31,,124.7,115.76,55.17,91.49,86.39,68.99,22.03,91.07,52.4,26.65,36.55,34.58,70.44,21.23,9.18,6.84,12.65,12.89,7.83,15.15,,81.76,59.27,14.2,24.77,28.76,34.9,21.94,3069.64,14.94,100.77,9.85,46.34,7.45,12.75,390.01,28.28,29.15,26.94,12.58,3.4,17.29,857.64
356,2018-05-01,23.37,19.32,15.27,16.14,10.93,15.36,9.88,11.97,17.38,10.3,17.86,,124.48,115.14,54.81,89.85,87.32,69.58,22.13,89.86,52.65,24.17,36.41,34.39,68.77,21.86,12.34,6.57,12.57,13.72,7.54,14.83,,82.01,60.19,14.47,25.52,29.39,35.72,22.67,3087.38,15.01,100.99,9.95,46.53,7.51,12.9,391.84,28.34,29.34,27.12,13.06,3.47,17.31,863.05
357,2018-06-01,23.27,19.37,15.35,16.21,11.01,15.37,9.99,12.01,17.18,10.42,18.3,,124.41,114.28,54.78,89.85,86.64,69.76,22.02,88.82,52.04,21.8,36.47,34.44,67.96,21.17,11.59,7.74,15.48,23.03,8.73,14.67,,81.93,60.41,14.51,26.32,30.15,36.41,23.0,3115.74,15.01,100.3,9.98,46.07,7.5,12.96,393.93,28.39,29.4,27.29,13.28,3.5,17.79,883.75
358,2018-07-01,23.44,19.54,15.49,16.44,11.09,15.5,10.04,12.07,17.76,10.44,18.98,,124.51,114.26,54.9,90.86,88.13,70.32,21.9,88.43,51.98,20.11,36.21,34.41,67.78,19.11,8.11,7.1,10.38,26.15,7.95,14.92,,82.12,60.61,14.78,27.06,31.0,37.01,23.36,3142.58,15.08,100.56,10.02,46.03,7.54,13.02,396.08,28.24,29.26,27.08,13.64,3.75,18.06,882.19
359,2018-08-01,23.41,19.59,15.68,16.64,11.15,15.55,10.23,12.32,17.59,10.62,19.76,,124.99,114.65,55.69,95.08,88.53,70.31,21.99,88.79,52.2,21.3,36.12,34.48,67.8,14.07,7.3,8.42,7.05,15.13,7.56,14.9,,82.43,60.72,14.86,27.47,31.47,37.28,23.6,3219.17,15.26,100.32,10.01,47.05,7.56,13.13,398.6,28.49,29.54,27.33,14.13,4.03,18.13,894.67
360,2018-09-01,23.78,20.18,16.14,17.08,11.58,16.1,10.74,12.92,17.41,10.91,21.06,,126.0,117.88,58.62,103.31,89.85,70.67,22.36,90.31,53.09,24.27,36.66,34.59,70.01,11.24,7.23,8.04,7.15,11.9,6.86,14.83,,82.86,60.54,14.87,27.82,31.89,37.55,23.9,3251.13,15.4,101.79,10.07,47.6,7.6,13.22,402.58,30.09,31.17,28.93,14.62,4.1,18.0,898.39
361,2018-10-01,24.03,20.9,16.54,17.44,11.96,16.59,11.1,13.33,16.94,11.26,22.54,,126.93,118.22,58.64,104.1,91.17,71.45,22.85,92.75,54.37,24.93,37.14,34.83,73.47,10.19,7.2,10.5,7.64,12.09,6.52,14.49,,89.69,61.88,14.97,28.25,32.41,38.19,24.27,3276.79,15.57,103.35,10.13,47.95,7.63,13.58,408.51,31.79,32.92,31.38,15.78,4.1,18.06,896.65
362,2018-11-01,24.11,21.5,17.22,17.98,12.36,16.93,11.24,13.68,16.63,11.54,23.13,,127.43,115.86,58.32,103.56,92.2,72.9,23.39,95.24,55.41,24.81,38.25,34.98,75.71,9.43,7.21,12.87,8.07,11.14,6.76,14.24,,90.35,62.3,15.12,28.57,32.81,38.93,24.53,3298.74,15.86,104.09,10.26,48.0,7.71,13.86,413.57,31.12,32.28,31.87,16.26,4.24,18.09,904.86
363,2018-12-01,23.76,21.75,17.48,18.25,12.57,17.34,11.34,13.8,16.33,11.83,23.92,,128.12,115.42,57.83,104.51,93.2,73.35,23.73,97.75,56.62,24.56,38.96,35.0,76.33,9.21,8.86,16.82,10.94,11.95,7.99,14.09,,90.64,62.9,15.13,28.99,33.39,39.64,25.0,3352.66,16.17,104.94,10.33,47.93,7.79,14.4,418.66,29.31,30.43,30.21,14.54,4.44,18.12,918.04
365,2019-01-01,23.71,22.2,17.78,18.61,12.77,17.61,11.36,13.77,16.34,11.98,25.06,,129.06,116.31,58.66,105.33,93.6,74.4,23.87,98.81,57.55,24.77,39.78,35.12,76.78,9.47,11.48,18.51,12.5,12.36,9.33,14.02,,91.04,63.29,15.38,29.49,34.1,40.72,25.57,3379.7,16.43,105.73,10.34,48.47,7.99,15.03,428.81,27.58,28.69,28.61,12.63,4.47,20.09,922.74
366,2019-02-01,23.49,22.47,18.01,18.81,12.92,17.82,11.5,13.92,16.76,12.39,26.48,,128.36,112.91,58.15,104.36,94.15,75.58,24.13,99.67,57.9,23.9,40.08,35.07,76.89,9.43,13.25,20.16,12.86,11.75,10.09,14.13,,90.93,64.11,15.64,29.9,34.7,41.57,25.96,3387.58,16.59,106.1,10.38,48.73,8.03,15.4,433.95,27.29,28.38,28.24,10.87,4.67,20.24,923.35
367,2019-03-01,23.38,22.63,18.22,19.02,13.02,18.0,11.64,14.0,16.78,12.63,28.27,,127.56,111.63,58.32,104.65,94.13,76.67,24.18,100.15,58.17,22.7,40.29,34.98,76.57,9.48,17.26,18.51,12.6,11.41,10.16,14.16,,91.21,64.32,15.84,30.18,35.26,42.14,26.26,3388.29,16.64,105.91,10.44,48.68,8.06,15.56,439.64,27.23,28.33,28.18,11.19,4.82,20.35,925.28
